time,gFx,gFy,gFz,TgF
0.236000,-0.1845,0.7437,0.5258,0.929
0.237000,-0.2267,0.7479,0.5275,0.943
0.238000,-0.2467,0.7457,0.5307,0.948
0.238000,-0.2450,0.7503,0.5375,0.955
0.239000,-0.2231,0.7518,0.5448,0.955
0.240000,-0.1982,0.7518,0.5461,0.950
0.240000,-0.1571,0.7586,0.5487,0.949
0.241000,-0.1125,0.7781,0.5624,0.967
0.241000,-0.0861,0.7926,0.5812,0.987
0.242000,-0.0780,0.7979,0.6090,1.007
0.243000,-0.0790,0.7972,0.6291,1.019
0.243000,-0.0790,0.7987,0.6598,1.039
0.244000,-0.0790,0.7957,0.6896,1.056
0.245000,-0.0763,0.7987,0.7204,1.078
0.245000,-0.0724,0.8001,0.7485,1.098
0.246000,-0.0619,0.8011,0.7756,1.117
0.246000,-0.0590,0.8001,0.7983,1.132
0.247000,-0.0526,0.7943,0.8119,1.137
0.248000,-0.0443,0.7874,0.8237,1.140
0.248000,-0.0326,0.7821,0.8288,1.140
0.249000,-0.0204,0.7767,0.8344,1.140
0.250000,-0.0109,0.7711,0.8308,1.133
0.250000,-0.0097,0.7637,0.8256,1.125
0.251000,-0.0111,0.7547,0.8146,1.111
0.251000,-0.0141,0.7486,0.7990,1.095
0.252000,-0.0263,0.7442,0.7758,1.075
0.252000,-0.0333,0.7452,0.7485,1.057
0.253000,-0.0419,0.7488,0.7170,1.038
0.254000,-0.0519,0.7603,0.6891,1.027
0.254000,-0.0622,0.7672,0.6603,1.014
0.255000,-0.0771,0.7733,0.6393,1.006
0.255000,-0.0934,0.7767,0.6232,1.000
0.256000,-0.1098,0.7786,0.6161,0.999
0.257000,-0.1249,0.7784,0.6122,0.998
0.257000,-0.1422,0.7825,0.6090,1.002
0.258000,-0.1554,0.7845,0.6144,1.009
0.259000,-0.1657,0.7801,0.6242,1.013
0.259000,-0.1671,0.7791,0.6452,1.025
0.260000,-0.1608,0.7738,0.6596,1.029
0.260000,-0.1449,0.7679,0.6757,1.033
0.261000,-0.1276,0.7620,0.6884,1.035
