time,gFx,gFy,gFz,TgF
0.004000,0.0487,0.4671,0.9526,1.062
0.005000,0.0598,0.4581,0.9631,1.068
0.005000,0.0614,0.4496,0.9675,1.069
0.006000,0.0605,0.4468,0.9602,1.061
0.007000,0.0547,0.4399,0.9475,1.046
0.007000,0.0463,0.4350,0.9348,1.032
0.008000,0.0396,0.4292,0.9208,1.017
0.011000,0.0342,0.4184,0.9155,1.007
0.039000,0.0305,0.4106,0.9212,1.009
0.042000,0.0313,0.4010,0.9366,1.019
0.043000,0.0266,0.3958,0.9642,1.043
0.043000,0.0200,0.4001,0.9934,1.071
0.044000,0.0144,0.4083,1.0150,1.094
0.045000,0.0078,0.4209,1.0199,1.103
0.045000,0.0040,0.4313,1.0124,1.100
0.055000,0.0000,0.4414,0.9955,1.089
0.056000,0.0002,0.4543,0.9748,1.076
0.092000,-0.0001,0.4640,0.9472,1.055
0.094000,0.0008,0.4688,0.9172,1.030
0.096000,0.0089,0.4689,0.8921,1.008
0.097000,0.0258,0.4677,0.8634,0.982
0.097000,0.0494,0.4655,0.8363,0.958
0.099000,0.0675,0.4649,0.8114,0.938
0.100000,0.0729,0.4672,0.7941,0.924
0.100000,0.0654,0.4739,0.7894,0.923
0.101000,0.0486,0.4847,0.7833,0.922
0.104000,0.0406,0.4914,0.7776,0.921
0.109000,0.0336,0.4915,0.7847,0.927
0.115000,0.0313,0.4864,0.7890,0.927
0.127000,0.0317,0.4785,0.8050,0.937
0.128000,0.0360,0.4709,0.8164,0.943
0.129000,0.0370,0.4663,0.8242,0.948
0.136000,0.0388,0.4586,0.8325,0.951
0.138000,0.0363,0.4547,0.8420,0.958
0.143000,0.0346,0.4433,0.8553,0.964
0.185000,0.0280,0.4347,0.8793,0.981
0.186000,0.0204,0.4278,0.9027,0.999
0.187000,0.0178,0.4239,0.9145,1.008
0.188000,0.0180,0.4223,0.9270,1.019
0.188000,0.0231,0.4201,0.9326,1.023
0.189000,0.0308,0.4627,1.0108,1.112
