time,gFx,gFy,gFz,TgF
0.253000,-0.9867,0.1856,-0.0201,1.004
0.254000,-0.9867,0.1856,-0.0201,1.004
0.255000,-0.9867,0.1856,-0.0201,1.004
0.256000,-0.9867,0.1856,-0.0201,1.004
0.257000,-0.9623,0.1755,-0.0194,0.978
0.257000,-0.9728,0.1873,-0.0118,0.991
0.258000,-0.9840,0.1841,-0.0084,1.001
0.258000,-0.9943,0.1843,-0.0052,1.011
0.259000,-1.0013,0.1885,-0.0037,1.019
0.260000,-1.0082,0.1858,-0.0059,1.025
0.260000,-1.0050,0.1858,-0.0037,1.022
0.261000,-1.0048,0.1878,-0.0069,1.022
0.262000,-0.9982,0.1856,-0.0140,1.015
0.262000,-0.9923,0.1860,-0.0196,1.010
0.263000,-0.9850,0.1819,-0.0274,1.002
0.264000,-0.9777,0.1765,-0.0304,0.994
0.264000,-0.9720,0.1775,-0.0301,0.989
0.265000,-0.9730,0.1807,-0.0250,0.990
0.266000,-0.9772,0.1795,-0.0208,0.994
0.266000,-0.9772,0.1812,-0.0182,0.994
0.267000,-0.9767,0.1836,-0.0108,0.994
0.267000,-0.9789,0.1804,-0.0135,0.995
0.268000,-0.9808,0.1831,-0.0164,0.998
0.268000,-0.9823,0.1829,-0.0201,0.999
0.269000,-0.9789,0.1817,-0.0194,0.996
0.270000,-0.9747,0.1841,-0.0135,0.992
0.271000,-0.9777,0.1836,-0.0157,0.995
0.271000,-0.9813,0.1824,-0.0172,0.998
0.272000,-0.9830,0.1812,-0.0201,1.000
0.273000,-0.9791,0.1817,-0.0182,0.996
0.273000,-0.9823,0.1802,-0.0196,0.999
0.274000,-0.9867,0.1817,-0.0260,1.004
0.274000,-0.9935,0.1777,-0.0284,1.010
0.275000,-0.9955,0.1826,-0.0277,1.012
0.276000,-0.9925,0.1826,-0.0247,1.010
0.276000,-0.9918,0.1812,-0.0243,1.009
0.277000,-0.9852,0.1782,-0.0265,1.002
0.277000,-0.9789,0.1809,-0.0194,0.996
0.278000,-0.9733,0.1807,-0.0182,0.990
0.279000,-0.9696,0.1804,-0.0174,0.986
0.280000,-0.9703,0.1809,-0.0177,0.987
0.280000,-0.9733,0.1829,-0.0201,0.990
0.280000,-0.9733,0.1799,-0.0184,0.990
0.280000,-0.9772,0.1802,-0.0238,0.994
0.281000,-0.9779,0.1831,-0.0213,0.995
0.281000,-0.9835,0.1809,-0.0223,1.000
0.281000,-0.9845,0.1841,-0.0194,1.002
0.281000,-0.9879,0.1826,-0.0162,1.005
0.282000,-0.9923,0.1829,-0.0099,1.009
0.282000,-0.9928,0.1838,-0.0059,1.010
0.282000,-0.9938,0.1826,-0.0040,1.010
0.283000,-0.9928,0.1858,-0.0050,1.010
0.283000,-0.9925,0.1858,-0.0069,1.010
0.283000,-0.9886,0.1865,-0.0055,1.006
0.284000,-0.9857,0.1817,-0.0074,1.002
0.284000,-0.9784,0.1838,-0.0101,0.996
0.284000,-0.9738,0.1785,-0.0172,0.990
0.284000,-0.9747,0.1838,-0.0223,0.992
0.285000,-0.9706,0.1804,-0.0274,0.988
0.285000,-0.9716,0.1780,-0.0296,0.988
0.285000,-0.9716,0.1773,-0.0311,0.988
0.291000,-0.9747,0.1792,-0.0321,0.992
0.293000,-0.9794,0.1773,-0.0338,0.996
0.299000,-0.9842,0.1807,-0.0291,1.001
0.311000,-0.9904,0.1858,-0.0213,1.008
0.312000,-0.9935,0.1824,-0.0147,1.010
0.312000,-0.9947,0.1848,-0.0106,1.012
0.317000,-0.9957,0.1878,-0.0086,1.013
0.344000,-0.9918,0.1848,-0.0074,1.009
0.346000,-0.9945,0.1868,-0.0118,1.012
0.346000,-0.9896,0.1834,-0.0174,1.007
0.347000,-0.9869,0.1836,-0.0189,1.004
0.347000,-0.9806,0.1836,-0.0252,0.998
0.348000,-0.9755,0.1814,-0.0277,0.993
0.370000,-0.9769,0.1787,-0.0321,0.994
0.370000,-0.9750,0.1782,-0.0309,0.992
0.371000,-0.9757,0.1797,-0.0287,0.993
0.371000,-0.9791,0.1787,-0.0233,0.996
0.371000,-0.9772,0.1814,-0.0191,0.994
0.378000,-0.9818,0.1863,-0.0142,0.999
0.380000,-0.9821,0.1826,-0.0106,0.999
0.385000,-0.9838,0.1856,-0.0074,1.001
0.390000,-0.9862,0.1863,-0.0096,1.004
0.394000,-0.9879,0.1834,-0.0116,1.005
0.399000,-0.9891,0.1836,-0.0101,1.006
0.411000,-0.9904,0.1860,-0.0152,1.008
0.412000,-0.9906,0.1838,-0.0179,1.008
0.414000,-0.9886,0.1824,-0.0255,1.006
0.418000,-0.9838,0.1792,-0.0260,1.000
0.424000,-0.9789,0.1819,-0.0260,0.996
0.428000,-0.9779,0.1773,-0.0284,0.994
0.433000,-0.9720,0.1782,-0.0235,0.989
0.448000,-0.9706,0.1797,-0.0238,0.987
0.448000,-0.9733,0.1795,-0.0213,0.990
0.449000,-0.9767,0.1785,-0.0230,0.993
0.456000,-0.9794,0.1802,-0.0201,0.996
0.457000,-0.9818,0.1812,-0.0186,0.999
0.462000,-0.9860,0.1809,-0.0135,1.003
0.467000,-0.9835,0.1826,-0.0133,1.000
0.472000,-0.9874,0.1841,-0.0135,1.005
0.476000,-0.9867,0.1829,-0.0169,1.004
0.482000,-0.9899,0.1846,-0.0169,1.007
0.489000,-0.9906,0.1836,-0.0211,1.008
0.492000,-0.9850,0.1836,-0.0191,1.002
0.497000,-0.9833,0.1826,-0.0199,1.000
0.501000,-0.9852,0.1834,-0.0177,1.002
0.517000,-0.9811,0.1841,-0.0130,0.998
0.518000,-0.9784,0.1831,-0.0067,0.995
0.519000,-0.9762,0.1851,0.0002,0.994
0.523000,-0.9750,0.1860,-0.0006,0.993
0.527000,-0.9801,0.1851,-0.0050,0.997
0.530000,-0.9774,0.1824,-0.0081,0.994
0.535000,-0.9791,0.1824,-0.0142,0.996
0.554000,-0.9772,0.1824,-0.0216,0.994
0.554000,-0.9769,0.1804,-0.0287,0.994
0.555000,-0.9769,0.1790,-0.0309,0.994
0.555000,-0.9774,0.1765,-0.0301,0.994
0.562000,-0.9777,0.1797,-0.0287,0.994
0.563000,-0.9803,0.1812,-0.0238,0.997
0.568000,-0.9813,0.1831,-0.0208,0.998
0.575000,-0.9874,0.1812,-0.0150,1.004
0.578000,-0.9904,0.1841,-0.0169,1.007
