time,gFx,gFy,gFz,TgF
0.257000,-0.0587,0.8877,0.3441,0.954
0.258000,-0.0480,0.8894,0.3658,0.963
0.258000,-0.0436,0.8946,0.4059,0.983
0.259000,-0.0414,0.8958,0.4623,1.009
0.260000,-0.0360,0.9026,0.5263,1.045
0.260000,-0.0319,0.9058,0.5858,1.079
0.261000,-0.0280,0.8980,0.6249,1.094
0.261000,-0.0236,0.8885,0.6530,1.103
0.262000,-0.0219,0.8797,0.6691,1.105
0.262000,-0.0250,0.8697,0.6781,1.103
0.263000,-0.0368,0.8645,0.6784,1.100
0.264000,-0.0514,0.8594,0.6679,1.090
0.264000,-0.0673,0.8550,0.6513,1.077
0.265000,-0.0753,0.8526,0.6320,1.064
0.265000,-0.0871,0.8513,0.6102,1.051
0.266000,-0.0993,0.8469,0.5912,1.038
0.267000,-0.1095,0.8455,0.5729,1.027
0.267000,-0.1156,0.8460,0.5551,1.018
0.268000,-0.1183,0.8460,0.5487,1.015
0.269000,-0.1124,0.8421,0.5375,1.005
0.269000,-0.1098,0.8433,0.5287,1.001
0.270000,-0.1041,0.8408,0.5231,0.996
0.270000,-0.1019,0.8445,0.5162,0.995
0.271000,-0.0941,0.8438,0.5094,0.990
0.272000,-0.0880,0.8443,0.5062,0.988
0.272000,-0.0802,0.8452,0.5062,0.989
0.273000,-0.0705,0.8469,0.5062,0.989
0.274000,-0.0629,0.8518,0.5065,0.993
0.274000,-0.0499,0.8504,0.5109,0.993
0.275000,-0.0424,0.8509,0.5331,1.005
0.276000,-0.0255,0.8504,0.5599,1.018
0.276000,-0.0167,0.8523,0.5795,1.031
0.277000,-0.0087,0.8487,0.5966,1.037
0.277000,-0.0045,0.8408,0.6058,1.036
0.278000,-0.0050,0.8328,0.6088,1.032
0.278000,-0.0094,0.8306,0.6110,1.031
0.279000,-0.0180,0.8272,0.6046,1.025
0.280000,-0.0289,0.8216,0.6015,1.019
0.280000,-0.0429,0.8250,0.5873,1.014
0.281000,-0.0602,0.8250,0.5731,1.006
0.281000,-0.0763,0.8274,0.5597,1.002
0.282000,-0.0895,0.8252,0.5497,0.996
0.282000,-0.0946,0.8277,0.5372,0.991
0.283000,-0.0941,0.8262,0.5272,0.985
0.284000,-0.0946,0.8250,0.5209,0.980
0.284000,-0.0919,0.8262,0.5179,0.979
0.285000,-0.0883,0.8272,0.5148,0.978
0.285000,-0.0805,0.8321,0.5182,0.984
0.285000,-0.0665,0.8369,0.5179,0.986
0.286000,-0.0504,0.8374,0.5162,0.985
0.286000,-0.0324,0.8438,0.5126,0.988
0.286000,-0.0155,0.8499,0.5133,0.993
0.287000,-0.0099,0.8553,0.5092,0.995
0.287000,-0.0011,0.8574,0.5079,0.997
0.287000,0.0057,0.8562,0.5053,0.994
0.288000,0.0113,0.8567,0.5026,0.993
0.288000,0.0118,0.8548,0.5031,0.992
0.289000,0.0087,0.8509,0.5053,0.990
0.289000,0.0021,0.8469,0.5094,0.988
0.289000,-0.0082,0.8438,0.5167,0.989
0.290000,-0.0197,0.8330,0.5238,0.984
0.290000,-0.0324,0.8316,0.5302,0.987
0.298000,-0.0424,0.8201,0.5365,0.981
0.299000,-0.0585,0.8145,0.5421,0.980
0.302000,-0.0761,0.8064,0.5460,0.977
0.314000,-0.0878,0.8076,0.5497,0.981
0.315000,-0.0966,0.8062,0.5563,0.984
0.318000,-0.1007,0.8096,0.5621,0.991
0.345000,-0.0976,0.8108,0.5687,0.995
0.346000,-0.0895,0.8076,0.5717,0.994
0.346000,-0.0809,0.8135,0.5729,0.998
0.347000,-0.0719,0.8157,0.5729,0.999
0.347000,-0.0673,0.8155,0.5709,0.998
0.347000,-0.0573,0.8177,0.5736,1.000
0.377000,-0.0485,0.8213,0.5685,1.000
0.378000,-0.0380,0.8269,0.5617,1.000
0.378000,-0.0309,0.8269,0.5512,0.994
0.379000,-0.0245,0.8274,0.5404,0.989
0.379000,-0.0243,0.8262,0.5343,0.984
0.379000,-0.0250,0.8289,0.5233,0.981
0.385000,-0.0206,0.8335,0.5209,0.983
0.386000,-0.0192,0.8379,0.5201,0.986
0.395000,-0.0182,0.8394,0.5177,0.986
0.395000,-0.0214,0.8423,0.5158,0.988
0.399000,-0.0209,0.8416,0.5206,0.990
0.413000,-0.0250,0.8394,0.5187,0.987
0.414000,-0.0302,0.8377,0.5228,0.988
0.414000,-0.0309,0.8286,0.5304,0.984
0.419000,-0.0363,0.8218,0.5309,0.979
0.430000,-0.0375,0.8242,0.5302,0.981
0.431000,-0.0431,0.8201,0.5277,0.976
0.433000,-0.0455,0.8159,0.5175,0.967
0.462000,-0.0485,0.8137,0.5121,0.963
0.463000,-0.0512,0.8128,0.5121,0.962
0.463000,-0.0595,0.8159,0.5070,0.962
0.463000,-0.0639,0.8194,0.5104,0.967
0.464000,-0.0695,0.8225,0.5131,0.972
0.464000,-0.0719,0.8257,0.5182,0.977
0.468000,-0.0766,0.8281,0.5255,0.984
0.473000,-0.0748,0.8260,0.5326,0.986
0.477000,-0.0717,0.8299,0.5419,0.994
0.482000,-0.0643,0.8269,0.5458,0.993
0.487000,-0.0575,0.8245,0.5509,0.993
0.492000,-0.0480,0.8208,0.5521,0.990
0.497000,-0.0382,0.8220,0.5490,0.989
0.502000,-0.0336,0.8252,0.5477,0.991
0.516000,-0.0309,0.8289,0.5419,0.991
0.516000,-0.0309,0.8306,0.5402,0.991
0.517000,-0.0316,0.8352,0.5333,0.991
0.524000,-0.0372,0.8325,0.5272,0.986
0.526000,-0.0404,0.8352,0.5260,0.988
0.531000,-0.0390,0.8374,0.5236,0.988
0.536000,-0.0402,0.8338,0.5219,0.984
0.558000,-0.0407,0.8303,0.5192,0.980
0.559000,-0.0453,0.8262,0.5182,0.976
0.559000,-0.0490,0.8184,0.5165,0.969
0.560000,-0.0495,0.8128,0.5175,0.965
0.560000,-0.0546,0.8093,0.5228,0.965
0.566000,-0.0602,0.8086,0.5233,0.965
0.570000,-0.0658,0.8106,0.5265,0.969
0.576000,-0.0717,0.8118,0.5343,0.974
0.579000,-0.0707,0.8142,0.5389,0.979
0.584000,-0.0719,0.8150,0.5451,0.983
0.595000,-0.0648,0.8194,0.5524,0.990
0.595000,-0.0529,0.8245,0.5585,0.997
0.599000,-0.0397,0.8260,0.5653,1.002
0.604000,-0.0311,0.8291,0.5682,1.006
0.615000,-0.0226,0.8325,0.5702,1.009
0.616000,-0.0182,0.8318,0.5704,1.009
0.619000,-0.0182,0.8318,0.5675,1.007
0.635000,-0.0143,0.8308,0.5607,1.002
0.635000,-0.0226,0.8257,0.5560,0.996
0.636000,-0.0282,0.8252,0.5480,0.991
0.638000,-0.0375,0.8206,0.5443,0.985
0.672000,-0.0490,0.8194,0.5389,0.982
0.673000,-0.0538,0.8157,0.5338,0.976
0.674000,-0.0570,0.8145,0.5350,0.976
0.674000,-0.0568,0.8169,0.5358,0.979
0.674000,-0.0548,0.8191,0.5382,0.982
0.675000,-0.0529,0.8198,0.5453,0.986
0.675000,-0.0558,0.8220,0.5477,0.989
0.685000,-0.0575,0.8245,0.5548,0.995
0.686000,-0.0573,0.8338,0.5590,1.005
0.687000,-0.0607,0.8330,0.5634,1.007
0.698000,-0.0621,0.8423,0.5680,1.018
0.699000,-0.0636,0.8433,0.5714,1.021
0.701000,-0.0585,0.8408,0.5744,1.020
0.718000,-0.0612,0.8440,0.5765,1.024
0.719000,-0.0563,0.8404,0.5795,1.022
0.719000,-0.0512,0.8350,0.5812,1.019
0.721000,-0.0475,0.8357,0.5868,1.022
0.735000,-0.0372,0.8345,0.5890,1.022
0.736000,-0.0355,0.8343,0.5949,1.025
0.736000,-0.0358,0.8391,0.5995,1.032
0.776000,-0.0363,0.8413,0.6046,1.037
0.777000,-0.0402,0.8457,0.6141,1.046
0.778000,-0.0453,0.8482,0.6276,1.056
0.778000,-0.0465,0.8509,0.6361,1.063
0.778000,-0.0468,0.8440,0.6454,1.064
0.778000,-0.0521,0.8389,0.6454,1.060
0.779000,-0.0563,0.8311,0.6486,1.056
0.779000,-0.0621,0.8240,0.6474,1.050
0.779000,-0.0678,0.8120,0.6500,1.042
0.789000,-0.0714,0.8108,0.6430,1.037
