time,gFx,gFy,gFz,TgF
0.965000,0.5642,0.0916,0.8088,0.990
0.965000,0.5647,0.0889,0.8169,0.997
0.966000,0.5686,0.0876,0.8159,0.998
0.966000,0.5652,0.0876,0.8242,1.003
0.966000,0.5645,0.0911,0.8506,1.025
0.966000,0.5589,0.0913,0.8750,1.042
0.967000,0.5205,0.0964,0.8721,1.020
0.967000,0.5606,0.0793,0.8760,1.043
0.967000,0.5635,0.0710,0.8691,1.038
0.967000,0.5730,0.0718,0.8503,1.028
0.967000,0.5750,0.0745,0.8332,1.015
0.968000,0.6094,0.0444,0.8450,1.043
0.968000,0.5486,0.0693,0.8267,0.995
0.968000,0.5098,0.0942,0.8037,0.956
0.968000,0.5452,0.0923,0.7908,0.965
0.969000,0.5823,0.0862,0.7847,0.981
0.969000,0.5762,0.0857,0.7913,0.983
0.969000,0.5682,0.0869,0.8052,0.989
0.969000,0.5640,0.0872,0.8228,1.001
0.969000,0.5669,0.0840,0.8291,1.008
0.970000,0.5672,0.0869,0.8328,1.011
0.970000,0.5635,0.0867,0.8303,1.007
0.970000,0.5660,0.0876,0.8296,1.008
0.970000,0.5701,0.0813,0.8281,1.009
0.971000,0.5660,0.0762,0.8301,1.008
0.971000,0.5667,0.0693,0.8394,1.015
0.971000,0.5640,0.0627,0.8528,1.024
0.971000,0.5618,0.0620,0.8552,1.025
0.971000,0.5611,0.0664,0.8430,1.015
0.972000,0.5699,0.0686,0.8335,1.012
0.972000,0.5704,0.0759,0.8235,1.005
0.972000,0.5713,0.0811,0.8108,0.995
0.972000,0.5718,0.0876,0.8039,0.990
0.973000,0.5733,0.0908,0.8039,0.992
0.973000,0.5752,0.0898,0.8047,0.993
0.973000,0.5789,0.0847,0.8086,0.998
0.973000,0.5784,0.0815,0.8115,1.000
0.973000,0.5787,0.0791,0.8144,1.002
0.974000,0.5823,0.0774,0.8193,1.008
0.974000,0.5830,0.0757,0.8269,1.015
0.974000,0.5840,0.0757,0.8296,1.017
0.974000,0.5816,0.0776,0.8320,1.018
0.975000,0.5791,0.0847,0.8357,1.020
0.975000,0.5735,0.0855,0.8296,1.012
0.975000,0.5735,0.0879,0.8232,1.007
0.975000,0.5684,0.0903,0.8188,1.001
0.976000,0.5721,0.0925,0.8191,1.003
0.976000,0.5694,0.0923,0.8174,1.000
0.976000,0.5650,0.0903,0.8228,1.002
0.976000,0.5621,0.0901,0.8235,1.001
0.976000,0.5613,0.0840,0.8328,1.008
0.977000,0.5552,0.0830,0.8376,1.008
0.977000,0.5523,0.0828,0.8357,1.005
0.977000,0.5540,0.0781,0.8364,1.006
0.977000,0.5572,0.0767,0.8325,1.005
0.978000,0.5611,0.0789,0.8303,1.005
0.978000,0.5682,0.0815,0.8220,1.003
0.978000,0.5735,0.0828,0.8137,0.999
0.978000,0.5806,0.0850,0.8044,0.996
0.978000,0.5852,0.0906,0.7991,0.995
0.979000,0.5857,0.0903,0.7986,0.994
0.979000,0.5828,0.0884,0.8003,0.994
0.979000,0.5794,0.0872,0.8027,0.994
0.979000,0.5789,0.0825,0.8083,0.998
0.980000,0.5782,0.0798,0.8127,1.001
0.980000,0.5823,0.0796,0.8230,1.011
0.980000,0.5848,0.0779,0.8201,1.010
0.980000,0.5872,0.0742,0.8215,1.013
0.980000,0.5879,0.0762,0.8210,1.013
0.981000,0.5855,0.0776,0.8188,1.010
0.981000,0.5865,0.0806,0.8152,1.007
0.981000,0.5892,0.0830,0.8154,1.009
0.981000,0.5926,0.0845,0.8232,1.018
0.982000,0.5926,0.0823,0.8332,1.026
0.982000,0.5867,0.0725,0.8406,1.028
0.982000,0.5789,0.0649,0.8425,1.024
0.982000,0.5782,0.0610,0.8416,1.023
0.982000,0.5755,0.0603,0.8332,1.014
0.983000,0.5774,0.0566,0.8245,1.008
0.983000,0.5769,0.0525,0.8052,0.992
0.983000,0.5752,0.0574,0.7927,0.981
0.983000,0.5755,0.0605,0.7854,0.976
0.984000,0.5779,0.0583,0.7778,0.971
0.984000,0.5796,0.0620,0.7771,0.971
0.984000,0.5879,0.0703,0.7847,0.983
0.984000,0.5970,0.0769,0.7964,0.998
0.984000,0.6038,0.0781,0.8027,1.008
0.985000,0.6019,0.0779,0.8069,1.010
0.985000,0.5928,0.0771,0.8079,1.005
0.985000,0.5823,0.0718,0.8096,1.000
0.985000,0.5723,0.0776,0.8118,0.996
0.986000,0.5694,0.0801,0.8123,0.995
0.986000,0.5755,0.0825,0.8140,1.000
0.986000,0.5740,0.0874,0.8159,1.001
0.986000,0.5733,0.0859,0.8179,1.002
0.986000,0.5674,0.0862,0.8225,1.003
0.987000,0.5667,0.0864,0.8249,1.005
0.987000,0.5660,0.0847,0.8252,1.004
0.988000,0.5689,0.0872,0.8252,1.006
0.989000,0.5733,0.0876,0.8223,1.006
0.989000,0.5711,0.0891,0.8193,1.003
0.989000,0.5755,0.0891,0.8137,1.001
0.989000,0.5755,0.0894,0.8127,1.000
0.989000,0.5738,0.0881,0.8086,0.995
0.990000,0.5699,0.0825,0.8142,0.997
0.990000,0.5645,0.0762,0.8164,0.995
0.990000,0.5662,0.0735,0.8298,1.007
0.990000,0.5691,0.0771,0.8386,1.016
0.990000,0.5674,0.0798,0.8433,1.020
0.991000,0.5647,0.0857,0.8469,1.022
0.991000,0.5608,0.0884,0.8457,1.019
0.991000,0.5589,0.0906,0.8433,1.016
0.991000,0.5567,0.0894,0.8430,1.014
0.991000,0.5601,0.0925,0.8364,1.011
0.992000,0.5613,0.0903,0.8345,1.010
0.992000,0.5591,0.0908,0.8274,1.003
0.992000,0.5601,0.0879,0.8223,0.999
0.993000,0.5557,0.0837,0.8176,0.992
0.993000,0.5528,0.0801,0.8196,0.992
0.993000,0.5508,0.0747,0.8174,0.988
0.993000,0.5508,0.0708,0.8230,0.993
0.993000,0.5520,0.0686,0.8220,0.993
0.994000,0.5516,0.0686,0.8269,0.996
0.994000,0.5503,0.0652,0.8267,0.995
0.994000,0.5518,0.0620,0.8332,1.001
0.994000,0.5550,0.0581,0.8381,1.007
0.994000,0.5559,0.0569,0.8413,1.010
0.994000,0.5550,0.0576,0.8433,1.011
0.995000,0.5577,0.0586,0.8428,1.012
0.995000,0.5579,0.0625,0.8455,1.015
0.995000,0.5562,0.0637,0.8435,1.012
0.995000,0.5530,0.0596,0.8464,1.013
0.996000,0.5498,0.0603,0.8496,1.014
0.996000,0.5476,0.0593,0.8496,1.013
0.996000,0.5413,0.0537,0.8506,1.010
0.996000,0.5396,0.0513,0.8511,1.009
0.996000,0.5418,0.0566,0.8513,1.011
0.997000,0.5506,0.0537,0.8477,1.012
0.997000,0.5579,0.0576,0.8459,1.015
0.997000,0.5642,0.0593,0.8403,1.014
0.997000,0.5689,0.0666,0.8313,1.010
0.997000,0.5716,0.0688,0.8296,1.010
0.998000,0.5696,0.0713,0.8274,1.007
0.998000,0.5647,0.0752,0.8215,1.000
0.998000,0.5599,0.0742,0.8184,0.994
0.998000,0.5589,0.0701,0.8154,0.991
0.998000,0.5579,0.0666,0.8093,0.985
0.998000,0.5616,0.0669,0.8127,0.990
0.999000,0.5662,0.0674,0.8228,1.001
0.999000,0.5630,0.0679,0.8354,1.010
0.999000,0.5628,0.0669,0.8425,1.015
0.999000,0.5606,0.0645,0.8464,1.017
0.999000,0.5523,0.0620,0.8516,1.017
1.000000,0.5501,0.0615,0.8496,1.014
1.000000,0.5467,0.0608,0.8513,1.014
1.000000,0.5472,0.0642,0.8484,1.012
1.000000,0.5506,0.0657,0.8406,1.007
1.001000,0.5542,0.0664,0.8345,1.004
1.001000,0.5591,0.0649,0.8303,1.003
1.001000,0.5640,0.0725,0.8284,1.005
1.001000,0.5677,0.0732,0.8242,1.003
1.001000,0.5672,0.0745,0.8213,1.001
1.002000,0.5662,0.0806,0.8164,0.997
1.002000,0.5657,0.0837,0.8169,0.997
1.002000,0.5603,0.0874,0.8132,0.991
1.002000,0.5613,0.0930,0.8137,0.993
1.002000,0.5567,0.0991,0.8147,0.992
1.003000,0.5572,0.1021,0.8171,0.994
1.003000,0.5579,0.1016,0.8157,0.993
1.003000,0.5589,0.1055,0.8115,0.991
1.003000,0.5686,0.1040,0.8083,0.994
1.003000,0.5686,0.1038,0.8115,0.996
1.004000,0.5735,0.0977,0.8113,0.998
1.004000,0.5765,0.0947,0.8125,1.001
1.004000,0.5804,0.0913,0.8127,1.003
1.004000,0.5850,0.0903,0.8164,1.008
1.004000,0.5857,0.0820,0.8201,1.011
1.004000,0.5921,0.0764,0.8193,1.014
1.005000,0.5962,0.0757,0.8223,1.018
1.005000,0.5955,0.0742,0.8215,1.017
1.005000,0.5894,0.0718,0.8230,1.015
1.005000,0.5870,0.0706,0.8201,1.011
1.006000,0.5867,0.0674,0.8206,1.011
1.006000,0.5867,0.0654,0.8184,1.009
1.006000,0.5845,0.0632,0.8213,1.010
1.006000,0.5874,0.0637,0.8174,1.009
1.006000,0.5877,0.0647,0.8171,1.009
1.007000,0.5838,0.0598,0.8123,1.002
1.007000,0.5755,0.0571,0.8152,0.999
1.007000,0.5689,0.0559,0.8154,0.996
1.007000,0.5603,0.0547,0.8188,0.994
1.007000,0.5716,0.0535,0.8179,0.999
1.008000,0.5872,0.0537,0.8188,1.009
1.008000,0.6033,0.0547,0.8179,1.018
1.008000,0.6145,0.0549,0.8135,1.021
1.008000,0.6175,0.0579,0.8081,1.019
1.008000,0.6004,0.0662,0.7996,1.002
1.009000,0.5779,0.0764,0.7959,0.987
1.009000,0.5750,0.0842,0.7976,0.987
1.009000,0.5762,0.0879,0.7998,0.990
1.009000,0.5752,0.0916,0.7993,0.989
1.009000,0.5684,0.0947,0.7978,0.984
1.010000,0.5713,0.1006,0.7978,0.986
1.010000,0.5674,0.1033,0.7998,0.986
1.010000,0.5667,0.1006,0.7996,0.985
1.010000,0.5679,0.0972,0.7974,0.984
1.010000,0.5701,0.0750,0.7854,0.973
1.010000,0.5728,0.0933,0.7964,0.985
1.011000,0.5755,0.1086,0.8105,1.000
1.011000,0.5804,0.1130,0.8149,1.007
1.019000,0.5833,0.1074,0.8154,1.008
1.021000,0.5848,0.1067,0.8247,1.017
