time,gFx,gFy,gFz,TgF
11.989,-0.2078,0.1931,0.0422,0.287
12.321,0.2026,2.9734,-0.4157,3.009
12.709,-0.1538,0.2114,-0.0177,0.262
13.115,0.2918,2.9483,-0.0724,2.964
13.43,0.179,0.1736,-0.0094,0.249
13.843,0.2131,2.9393,-0.0592,2.948
14.218,-0.1477,0.2354,-0.0184,0.279
14.589,0.2534,2.886,-0.1075,2.899
14.971,0.1748,0.1856,-0.0272,0.256
15.328,0.2139,2.8357,-0.0997,2.846
15.738,-0.1468,0.2727,-0.0103,0.31
16.089,0.2573,2.7881,-0.1175,2.802
16.439,0.1792,0.2119,-0.047,0.281
16.821,0.2065,2.7478,-0.119,2.758
17.172,-0.1443,0.3059,-0.0221,0.339
17.555,0.2527,2.721,-0.0919,2.734
17.921,0.1804,0.2373,-0.0428,0.301
18.276,0.207,2.6685,-0.1371,2.68
18.64,-0.1372,0.3374,-0.0296,0.365
19.023,0.228,2.6575,-0.1202,2.67
