time,gFx,gFy,gFz,TgF
0.024000,-0.9852,0.1782,-0.0028,1.001
0.025000,-0.9769,0.1812,0.0028,0.994
0.025000,-0.9740,0.1765,0.0050,0.990
0.025000,-0.9728,0.1790,0.0041,0.989
0.025000,-0.9781,0.1765,0.0019,0.994
0.026000,-0.9767,0.1770,-0.0006,0.993
0.026000,-0.9728,0.1768,-0.0094,0.989
0.027000,-0.9777,0.1726,-0.0172,0.993
0.032000,-0.9750,0.1721,-0.0260,0.990
0.044000,-0.9816,0.1748,-0.0348,0.998
0.046000,-0.9850,0.1694,-0.0396,1.000
0.046000,-0.9928,0.1702,-0.0440,1.008
0.051000,-0.9935,0.1704,-0.0453,1.009
0.071000,-0.9882,0.1724,-0.0477,1.004
0.072000,-0.9860,0.1719,-0.0438,1.002
0.072000,-0.9869,0.1714,-0.0377,1.002
0.073000,-0.9860,0.1751,-0.0318,1.002
0.091000,-0.9884,0.1751,-0.0255,1.004
0.092000,-0.9847,0.1760,-0.0216,1.001
0.092000,-0.9842,0.1782,-0.0169,1.000
0.093000,-0.9894,0.1775,-0.0147,1.005
0.110000,-0.9864,0.1802,-0.0091,1.003
0.110000,-0.9845,0.1760,-0.0086,1.000
0.111000,-0.9811,0.1795,-0.0072,0.997
0.111000,-0.9803,0.1765,-0.0074,0.996
0.121000,-0.9799,0.1780,-0.0116,0.996
0.121000,-0.9791,0.1753,-0.0145,0.995
0.123000,-0.9803,0.1755,-0.0206,0.996
0.129000,-0.9791,0.1729,-0.0213,0.994
0.133000,-0.9755,0.1729,-0.0274,0.991
0.150000,-0.9755,0.1714,-0.0306,0.991
0.151000,-0.9781,0.1731,-0.0272,0.994
0.151000,-0.9774,0.1709,-0.0301,0.993
0.152000,-0.9811,0.1751,-0.0289,0.997
0.157000,-0.9830,0.1731,-0.0262,0.998
0.163000,-0.9840,0.1748,-0.0201,1.000
0.167000,-0.9877,0.1773,-0.0145,1.004
0.172000,-0.9860,0.1753,-0.0089,1.001
0.177000,-0.9799,0.1780,-0.0069,0.996
0.182000,-0.9794,0.1760,-0.0037,0.995
0.187000,-0.9777,0.1770,-0.0062,0.994
0.191000,-0.9745,0.1748,-0.0072,0.990
0.196000,-0.9728,0.1755,-0.0133,0.989
0.201000,-0.9745,0.1753,-0.0169,0.990
0.215000,-0.9774,0.1726,-0.0213,0.993
0.216000,-0.9842,0.1741,-0.0287,1.000
0.216000,-0.9874,0.1702,-0.0333,1.003
0.221000,-0.9913,0.1697,-0.0321,1.006
0.227000,-0.9896,0.1748,-0.0316,1.005
0.229000,-0.9891,0.1751,-0.0309,1.005
0.234000,-0.9904,0.1763,-0.0269,1.006
0.250000,-0.9940,0.1729,-0.0240,1.009
0.251000,-0.9899,0.1768,-0.0228,1.006
0.252000,-0.9879,0.1773,-0.0204,1.004
0.268000,-0.9864,0.1765,-0.0162,1.002
0.269000,-0.9838,0.1777,-0.0179,1.000
0.269000,-0.9825,0.1777,-0.0160,0.999
0.269000,-0.9799,0.1760,-0.0125,0.996
0.274000,-0.9808,0.1787,-0.0064,0.997
0.278000,-0.9823,0.1787,-0.0079,0.998
0.282000,-0.9855,0.1777,-0.0121,1.001
0.287000,-0.9879,0.1775,-0.0135,1.004
0.293000,-0.9899,0.1775,-0.0157,1.006
0.297000,-0.9911,0.1751,-0.0221,1.007
0.302000,-0.9940,0.1714,-0.0238,1.009
0.312000,-0.9957,0.1726,-0.0262,1.011
0.312000,-0.9950,0.1738,-0.0296,1.010
0.317000,-0.9965,0.1758,-0.0287,1.012
0.323000,-0.9945,0.1738,-0.0274,1.010
0.326000,-0.9930,0.1741,-0.0228,1.008
0.331000,-0.9855,0.1775,-0.0172,1.001
0.336000,-0.9789,0.1760,-0.0162,0.995
0.353000,-0.9772,0.1760,-0.0089,0.993
0.354000,-0.9725,0.1765,-0.0106,0.988
0.355000,-0.9630,0.1763,-0.0096,0.979
0.355000,-0.9559,0.1726,-0.0108,0.971
0.360000,-0.9603,0.1738,-0.0152,0.976
0.365000,-0.9620,0.1714,-0.0174,0.977
0.370000,-0.9654,0.1716,-0.0179,0.981
0.375000,-0.9755,0.1729,-0.0211,0.991
0.379000,-0.9860,0.1738,-0.0218,1.001
0.384000,-0.9950,0.1755,-0.0238,1.011
0.390000,-1.0052,0.1773,-0.0294,1.021
0.394000,-1.0070,0.1716,-0.0296,1.022
0.399000,-0.9991,0.1780,-0.0230,1.015
0.403000,-0.9913,0.1775,-0.0204,1.007
0.415000,-0.9872,0.1731,-0.0142,1.002
0.416000,-0.9840,0.1748,-0.0079,0.999
0.419000,-0.9811,0.1799,-0.0037,0.997
0.436000,-0.9762,0.1795,-0.0011,0.993
0.437000,-0.9730,0.1775,-0.0020,0.989
0.438000,-0.9745,0.1787,-0.0084,0.991
0.438000,-0.9750,0.1746,-0.0118,0.991
0.472000,-0.9747,0.1760,-0.0196,0.991
0.473000,-0.9711,0.1751,-0.0247,0.987
0.473000,-0.9738,0.1731,-0.0309,0.989
0.474000,-0.9799,0.1709,-0.0316,0.995
0.474000,-0.9860,0.1726,-0.0335,1.002
0.475000,-1.0040,0.1726,-0.0396,1.020
0.475000,-1.0135,0.1773,-0.0396,1.030
0.475000,-1.0133,0.1748,-0.0365,1.029
0.483000,-1.0045,0.1746,-0.0328,1.020
0.485000,-0.9965,0.1770,-0.0245,1.012
0.490000,-0.9877,0.1780,-0.0174,1.004
0.495000,-0.9845,0.1799,-0.0108,1.001
0.500000,-0.9796,0.1804,-0.0020,0.996
0.505000,-0.9767,0.1773,-0.0003,0.993
0.517000,-0.9725,0.1807,0.0002,0.989
0.518000,-0.9684,0.1760,-0.0037,0.984
0.519000,-0.9654,0.1780,-0.0081,0.982
0.526000,-0.9591,0.1748,-0.0160,0.975
0.528000,-0.9571,0.1724,-0.0162,0.973
0.535000,-0.9581,0.1699,-0.0213,0.973
0.538000,-0.9640,0.1716,-0.0269,0.980
0.552000,-0.9786,0.1672,-0.0333,0.993
0.553000,-0.9879,0.1704,-0.0423,1.003
