time,gFx,gFy,gFz,TgF
0.255000,-0.0880,0.7640,0.5141,0.925
0.256000,-0.0846,0.7603,0.5392,0.936
0.256000,-0.0729,0.7550,0.5675,0.947
0.257000,-0.0563,0.7503,0.5995,0.962
0.257000,-0.0438,0.7479,0.6332,0.981
0.258000,-0.0265,0.7503,0.6633,1.002
0.259000,-0.0128,0.7557,0.6987,1.029
0.260000,-0.0011,0.7630,0.7243,1.052
0.260000,0.0033,0.7676,0.7460,1.070
0.261000,0.0016,0.7686,0.7707,1.088
0.261000,0.0050,0.7676,0.7851,1.098
0.262000,0.0091,0.7647,0.7856,1.096
0.263000,0.0055,0.7623,0.7858,1.095
0.263000,-0.0001,0.7574,0.7736,1.083
0.264000,-0.0053,0.7584,0.7538,1.069
0.265000,-0.0075,0.7547,0.7353,1.054
0.265000,-0.0072,0.7547,0.7118,1.037
0.266000,-0.0121,0.7540,0.6896,1.022
0.267000,-0.0177,0.7523,0.6745,1.011
0.267000,-0.0238,0.7506,0.6603,1.000
0.268000,-0.0246,0.7481,0.6471,0.989
0.268000,-0.0287,0.7530,0.6398,0.989
0.269000,-0.0307,0.7528,0.6359,0.986
0.269000,-0.0399,0.7523,0.6315,0.983
0.270000,-0.0490,0.7540,0.6271,0.982
0.270000,-0.0536,0.7537,0.6242,0.980
0.270000,-0.0490,0.7562,0.6159,0.976
0.270000,-0.0526,0.7586,0.6108,0.975
0.271000,-0.0565,0.7576,0.6093,0.974
0.271000,-0.0536,0.7611,0.6110,0.977
0.271000,-0.0500,0.7603,0.6193,0.982
0.271000,-0.0431,0.7625,0.6276,0.989
0.272000,-0.0353,0.7584,0.6454,0.996
0.272000,-0.0343,0.7608,0.6623,1.009
0.272000,-0.0316,0.7589,0.6784,1.018
0.273000,-0.0336,0.7574,0.6974,1.030
0.273000,-0.0331,0.7528,0.7118,1.037
0.273000,-0.0390,0.7496,0.7199,1.040
0.273000,-0.0409,0.7464,0.7243,1.041
0.274000,-0.0492,0.7430,0.7233,1.038
0.274000,-0.0565,0.7383,0.7104,1.026
0.274000,-0.0670,0.7354,0.7070,1.022
0.274000,-0.0739,0.7359,0.6960,1.016
0.275000,-0.0768,0.7352,0.6896,1.011
0.275000,-0.0795,0.7332,0.6828,1.005
0.275000,-0.0800,0.7296,0.6762,0.998
0.276000,-0.0766,0.7266,0.6725,0.993
0.276000,-0.0690,0.7239,0.6725,0.991
0.276000,-0.0678,0.7183,0.6733,0.987
0.277000,-0.0629,0.7130,0.6779,0.986
0.277000,-0.0580,0.7137,0.6755,0.984
0.277000,-0.0531,0.7132,0.6750,0.983
0.277000,-0.0556,0.7149,0.6740,0.984
0.278000,-0.0617,0.7217,0.6664,0.984
0.278000,-0.0685,0.7310,0.6589,0.987
0.278000,-0.0712,0.7357,0.6562,0.988
0.279000,-0.0727,0.7437,0.6503,0.991
0.279000,-0.0758,0.7503,0.6479,0.994
0.279000,-0.0709,0.7525,0.6457,0.994
0.283000,-0.0695,0.7525,0.6423,0.992
0.294000,-0.0685,0.7513,0.6408,0.990
0.295000,-0.0626,0.7508,0.6425,0.990
0.297000,-0.0600,0.7484,0.6484,0.992
0.302000,-0.0556,0.7474,0.6530,0.994
0.313000,-0.0565,0.7430,0.6613,0.996
0.314000,-0.0597,0.7435,0.6662,1.000
0.316000,-0.0561,0.7391,0.6735,1.001
0.321000,-0.0504,0.7347,0.6760,1.000
0.326000,-0.0441,0.7376,0.6762,1.002
0.333000,-0.0370,0.7413,0.6769,1.005
0.336000,-0.0346,0.7476,0.6781,1.010
0.354000,-0.0297,0.7545,0.6777,1.015
0.355000,-0.0343,0.7623,0.6706,1.016
0.355000,-0.0397,0.7662,0.6708,1.019
0.356000,-0.0424,0.7694,0.6684,1.020
0.362000,-0.0424,0.7684,0.6686,1.019
0.365000,-0.0387,0.7593,0.6706,1.014
0.376000,-0.0351,0.7552,0.6637,1.006
0.377000,-0.0363,0.7501,0.6633,1.002
0.379000,-0.0348,0.7418,0.6591,0.993
0.385000,-0.0373,0.7410,0.6550,0.990
0.396000,-0.0368,0.7396,0.6552,0.989
0.397000,-0.0333,0.7415,0.6576,0.992
0.399000,-0.0292,0.7467,0.6596,0.997
0.413000,-0.0241,0.7506,0.6613,1.001
0.414000,-0.0243,0.7471,0.6640,1.000
0.415000,-0.0275,0.7484,0.6657,1.002
0.418000,-0.0299,0.7459,0.6645,0.999
0.424000,-0.0341,0.7425,0.6669,0.999
0.428000,-0.0419,0.7342,0.6703,0.995
0.433000,-0.0453,0.7366,0.6713,0.998
0.461000,-0.0478,0.7330,0.6774,0.999
0.462000,-0.0526,0.7305,0.6862,1.004
0.462000,-0.0502,0.7271,0.6969,1.008
0.463000,-0.0490,0.7205,0.7021,1.007
0.463000,-0.0453,0.7193,0.7033,1.007
0.464000,-0.0397,0.7134,0.7070,1.005
0.470000,-0.0385,0.7095,0.7057,1.001
0.479000,-0.0395,0.7086,0.6940,0.993
0.480000,-0.0409,0.7078,0.6864,0.987
0.482000,-0.0451,0.7127,0.6799,0.986
0.487000,-0.0495,0.7188,0.6703,0.984
0.497000,-0.0507,0.7252,0.6664,0.986
0.498000,-0.0482,0.7310,0.6672,0.991
0.503000,-0.0473,0.7286,0.6681,0.990
0.528000,-0.0502,0.7283,0.6667,0.989
0.528000,-0.0539,0.7257,0.6672,0.987
0.529000,-0.0609,0.7230,0.6701,0.988
0.529000,-0.0626,0.7200,0.6701,0.986
0.529000,-0.0709,0.7181,0.6711,0.985
0.536000,-0.0744,0.7235,0.6716,0.990
0.537000,-0.0766,0.7276,0.6720,0.993
0.546000,-0.0805,0.7288,0.6689,0.992
0.547000,-0.0797,0.7342,0.6672,0.995
0.550000,-0.0758,0.7362,0.6652,0.995
0.563000,-0.0705,0.7427,0.6674,1.001
0.564000,-0.0697,0.7464,0.6657,1.003
0.564000,-0.0678,0.7493,0.6608,1.001
0.570000,-0.0651,0.7493,0.6618,1.002
0.579000,-0.0585,0.7457,0.6537,0.993
0.580000,-0.0524,0.7435,0.6518,0.990
0.584000,-0.0460,0.7386,0.6471,0.983
0.595000,-0.0397,0.7327,0.6496,0.980
0.596000,-0.0397,0.7235,0.6545,0.976
0.599000,-0.0419,0.7176,0.6620,0.977
0.604000,-0.0468,0.7139,0.6655,0.977
0.618000,-0.0521,0.7137,0.6701,0.980
0.619000,-0.0626,0.7130,0.6676,0.979
0.620000,-0.0697,0.7210,0.6667,0.984
0.656000,-0.0839,0.7315,0.6628,0.991
0.657000,-0.0910,0.7454,0.6571,0.998
0.657000,-0.0934,0.7550,0.6493,1.000
0.657000,-0.0937,0.7564,0.6405,0.996
0.658000,-0.0895,0.7576,0.6330,0.991
0.658000,-0.0876,0.7572,0.6308,0.989
0.658000,-0.0856,0.7515,0.6340,0.987
0.659000,-0.0805,0.7423,0.6383,0.982
0.669000,-0.0749,0.7383,0.6462,0.984
0.669000,-0.0646,0.7332,0.6569,0.987
0.681000,-0.0529,0.7330,0.6611,0.988
0.682000,-0.0465,0.7261,0.6703,0.989
0.682000,-0.0365,0.7244,0.6740,0.990
0.686000,-0.0299,0.7257,0.6696,0.988
0.701000,-0.0292,0.7249,0.6667,0.985
0.702000,-0.0255,0.7254,0.6601,0.981
0.702000,-0.0243,0.7291,0.6528,0.979
0.718000,-0.0265,0.7271,0.6430,0.971
0.719000,-0.0346,0.7325,0.6366,0.971
0.720000,-0.0351,0.7369,0.6303,0.970
0.721000,-0.0365,0.7354,0.6291,0.968
0.751000,-0.0404,0.7340,0.6330,0.970
0.752000,-0.0402,0.7325,0.6310,0.968
0.752000,-0.0434,0.7271,0.6357,0.967
0.752000,-0.0446,0.7227,0.6362,0.964
0.753000,-0.0441,0.7215,0.6393,0.965
0.753000,-0.0382,0.7171,0.6393,0.961
0.764000,-0.0358,0.7159,0.6405,0.961
0.765000,-0.0333,0.7127,0.6383,0.957
0.765000,-0.0297,0.7100,0.6342,0.952
0.769000,-0.0351,0.7115,0.6249,0.948
0.777000,-0.0385,0.7112,0.6156,0.941
0.779000,-0.0500,0.7174,0.6047,0.940
0.783000,-0.0636,0.7193,0.5966,0.937
0.790000,-0.0753,0.7332,0.5932,0.946
0.793000,-0.0871,0.7340,0.5951,0.949
0.798000,-0.0917,0.7449,0.5995,0.961
0.803000,-0.0934,0.7476,0.6105,0.970
0.817000,-0.0919,0.7498,0.6232,0.979
0.817000,-0.0880,0.7501,0.6420,0.991
0.818000,-0.0805,0.7520,0.6571,1.002
0.824000,-0.0741,0.7523,0.6779,1.015
0.827000,-0.0639,0.7493,0.6923,1.022
0.832000,-0.0543,0.7488,0.7062,1.031
0.837000,-0.0478,0.7503,0.7123,1.036
0.854000,-0.0446,0.7484,0.7177,1.038
0.855000,-0.0404,0.7484,0.7160,1.036
0.856000,-0.0451,0.7501,0.7111,1.035
0.857000,-0.0473,0.7469,0.7038,1.027
0.862000,-0.0485,0.7493,0.6979,1.025
0.866000,-0.0500,0.7530,0.6930,1.025
0.873000,-0.0502,0.7547,0.6850,1.020
0.876000,-0.0553,0.7552,0.6818,1.019
0.881000,-0.0558,0.7518,0.6816,1.016
0.887000,-0.0495,0.7520,0.6825,1.017
0.891000,-0.0470,0.7498,0.6813,1.014
0.896000,-0.0453,0.7469,0.6791,1.011
0.901000,-0.0409,0.7435,0.6772,1.006
0.918000,-0.0414,0.7393,0.6733,1.001
0.919000,-0.0451,0.7410,0.6755,1.004
0.920000,-0.0502,0.7435,0.6703,1.002
0.920000,-0.0543,0.7440,0.6713,1.004
0.927000,-0.0636,0.7464,0.6698,1.005
0.932000,-0.0709,0.7491,0.6764,1.012
0.934000,-0.0822,0.7545,0.6779,1.018
0.969000,-0.0897,0.7584,0.6845,1.026
0.970000,-0.0937,0.7547,0.6945,1.030
0.971000,-0.0956,0.7545,0.6991,1.033
0.971000,-0.0978,0.7559,0.7099,1.042
0.971000,-0.0951,0.7537,0.7206,1.047
