time,gFx,gFy,gFz,TgF
0.015000,-0.0804,0.8959,0.4583,1.010
0.016000,-0.0822,0.8873,0.5695,1.057
0.016000,-0.0715,0.8806,0.6951,1.124
0.017000,-0.0578,0.8840,0.7898,1.187
0.018000,-0.0549,0.9001,0.8317,1.227
0.018000,-0.0630,0.9254,0.8253,1.242
0.027000,-0.0678,0.9480,0.7843,1.232
0.028000,-0.0643,0.9499,0.7122,1.189
0.034000,-0.0530,0.9385,0.6361,1.135
0.037000,-0.0481,0.9245,0.5720,1.088
0.045000,-0.0460,0.9224,0.5182,1.059
0.046000,-0.0451,0.9304,0.4664,1.042
0.052000,-0.0347,0.9409,0.4148,1.029
0.066000,-0.0231,0.9496,0.3641,1.017
0.072000,-0.0177,0.9536,0.3118,1.003
0.073000,-0.0078,0.9486,0.2747,0.988
0.073000,-0.0062,0.9331,0.2482,0.966
0.079000,-0.0111,0.9224,0.2391,0.953
0.080000,-0.0107,0.9021,0.2417,0.934
0.092000,-0.0070,0.8732,0.2540,0.909
0.094000,0.0029,0.8385,0.2746,0.882
0.128000,0.0164,0.8002,0.3039,0.856
0.129000,0.0318,0.7644,0.3356,0.835
0.130000,0.0453,0.7362,0.3605,0.821
0.131000,0.0670,0.7178,0.3876,0.819
0.132000,0.0853,0.7058,0.4035,0.817
0.132000,0.1052,0.6950,0.4099,0.814
0.133000,0.1273,0.6976,0.4156,0.822
0.135000,0.1453,0.7033,0.4341,0.839
0.136000,0.1489,0.7148,0.4698,0.868
0.156000,0.1449,0.7274,0.5077,0.899
0.157000,0.1341,0.7360,0.5421,0.924
0.157000,0.1247,0.7325,0.5617,0.931
0.158000,0.1182,0.7216,0.5791,0.933
0.160000,0.0989,0.7161,0.5852,0.930
0.167000,0.0863,0.7134,0.5817,0.925
0.171000,0.0666,0.7162,0.5734,0.920
0.184000,0.0456,0.7167,0.5436,0.901
0.185000,0.0303,0.7152,0.5137,0.881
0.186000,0.0173,0.7083,0.4898,0.861
0.192000,0.0079,0.6988,0.4812,0.848
0.198000,0.0069,0.6926,0.4869,0.847
0.199000,0.0070,0.6964,0.4925,0.853
0.207000,0.0162,0.6995,0.4938,0.856
0.238000,0.0327,0.7089,0.4950,0.865
0.239000,0.0501,0.7079,0.4886,0.862
0.239000,0.0685,0.7139,0.4741,0.860
0.240000,0.0889,0.7171,0.4652,0.859
0.241000,0.1011,0.7176,0.4623,0.860
0.242000,0.1137,0.7117,0.4710,0.861
0.243000,0.1217,0.7078,0.5019,0.876
0.244000,0.1198,0.7130,0.5438,0.905
0.250000,0.1027,0.7181,0.5887,0.934
0.254000,0.0787,0.7313,0.6293,0.968
0.262000,0.0547,0.7460,0.6556,0.995
0.263000,0.0362,0.7600,0.6648,1.010
0.269000,0.0260,0.7729,0.6573,1.015
0.274000,0.0240,0.7902,0.6484,1.022
0.284000,0.0253,0.8110,0.6318,1.028
0.285000,0.0351,0.8262,0.5956,1.019
0.289000,0.0531,0.8339,0.5597,1.006
0.293000,0.0741,0.8378,0.5048,0.981
0.299000,0.0921,0.8397,0.4500,0.957
0.304000,0.0854,0.8474,0.3931,0.938
0.309000,0.0543,0.8645,0.3268,0.926
0.314000,0.0119,0.8811,0.2770,0.924
0.318000,-0.0268,0.8872,0.2610,0.925
0.327000,-0.0373,0.8757,0.2913,0.924
0.328000,-0.0350,0.8506,0.3618,0.925
0.333000,-0.0242,0.8284,0.4522,0.944
0.337000,-0.0207,0.8156,0.5304,0.973
0.343000,-0.0304,0.7976,0.5885,0.992
0.348000,0.0338,0.7676,0.6968,1.037
0.353000,0.1076,0.7319,0.7357,1.043
0.375000,0.0989,0.7982,0.7479,1.098
0.386000,0.0512,0.9394,0.7769,1.220
0.389000,0.0052,1.0916,0.7847,1.344
0.392000,-0.0244,1.1868,0.7522,1.405
0.394000,-0.0656,1.2087,0.7725,1.436
0.397000,-0.1267,1.1916,0.7334,1.405
0.399000,-0.1717,1.1503,0.6807,1.348
0.401000,-0.1692,1.1037,0.6218,1.278
0.403000,-0.1190,1.0655,0.5562,1.208
0.403000,-0.0748,1.0516,0.4846,1.160
0.423000,-0.0691,1.0664,0.4453,1.158
0.424000,-0.0900,1.0892,0.4285,1.174
0.424000,-0.0537,1.1064,0.4020,1.178
0.425000,-0.0029,1.0920,0.3928,1.161
0.427000,0.0282,1.0582,0.3833,1.126
0.433000,0.0440,1.0172,0.3818,1.087
0.437000,0.0608,0.9674,0.3952,1.047
0.443000,0.0965,0.9224,0.4098,1.014
0.446000,0.1220,0.8878,0.4141,0.987
0.452000,0.1327,0.8715,0.4112,0.973
0.457000,0.1380,0.8540,0.4199,0.962
0.462000,0.1443,0.8410,0.4258,0.954
0.466000,0.1477,0.8383,0.4219,0.950
0.471000,0.2001,0.8232,0.4478,0.958
0.488000,0.2127,0.8121,0.4622,0.958
0.493000,0.2161,0.8077,0.4795,0.964
0.493000,0.1650,0.8249,0.4643,0.961
0.494000,0.0971,0.8438,0.4556,0.964
0.539000,0.0828,0.8300,0.4456,0.946
0.540000,0.1080,0.7931,0.4256,0.907
0.541000,0.1383,0.7434,0.4171,0.864
0.542000,0.1799,0.6889,0.4278,0.831
0.542000,0.2111,0.6491,0.4393,0.812
0.543000,0.2174,0.6420,0.4379,0.807
0.544000,0.2162,0.6574,0.4233,0.811
0.545000,0.2207,0.6850,0.3975,0.822
0.545000,0.2146,0.7184,0.3608,0.832
0.546000,0.1970,0.7461,0.3197,0.835
0.547000,0.1786,0.7669,0.2768,0.835
0.556000,0.1647,0.7766,0.2513,0.833
0.557000,0.1541,0.7780,0.2518,0.832
0.573000,0.1389,0.7846,0.2629,0.839
0.574000,0.1138,0.7931,0.2767,0.848
0.574000,0.0898,0.7983,0.3043,0.859
0.575000,0.0772,0.7970,0.3480,0.873
0.604000,0.0696,0.7783,0.4074,0.881
0.611000,0.0645,0.7528,0.4652,0.887
0.611000,0.0858,0.7293,0.5147,0.897
0.612000,0.1013,0.7109,0.5567,0.909
0.612000,0.1040,0.6887,0.5894,0.912
0.613000,0.0949,0.6613,0.6104,0.905
0.614000,0.0759,0.6285,0.6310,0.894
0.615000,0.0523,0.5920,0.6511,0.882
0.648000,0.0640,0.5618,0.6711,0.878
0.649000,0.0899,0.5640,0.6914,0.897
0.649000,0.0994,0.5799,0.6735,0.894
0.650000,0.1078,0.6012,0.6553,0.896
0.651000,0.1009,0.6274,0.6180,0.886
